time,close,contrast,sellprice,buyprice,volume,cum_vol,cum_vol_price,open,high,low,contrast_sig,contrast_vol,contrast_vol_price,tr_cost,mkt_cap,mkt_type,KO,change_ratio,contrast_vol_ratio,vol_cycle,tr_str
13:00:18,2820000,-18000,2821000,2820000,-4,80001,226152,2846000,2846000,2808000,5,-90403,-2.56247E+11,9336,3640578,2,0,-0.63,-46.95,0.06,74.9
13:00:22,2820000,-18000,2821000,2820000,-1,80002,226155,2846000,2846000,2808000,5,-90402,-2.56244E+11,9336,3640578,2,0,-0.63,-46.95,0.06,74.9
13:00:27,2820000,-18000,2821000,2820000,-1,80003,226158,2846000,2846000,2808000,5,-90401,-2.56241E+11,9336,3640578,2,0,-0.63,-46.95,0.06,74.9
13:00:27,2820000,-18000,2821000,2820000,-5,80008,226172,2846000,2846000,2808000,5,-90396,-2.56227E+11,9336,3640578,2,0,-0.63,-46.95,0.06,74.89
13:00:28,2821000,-17000,2821000,2820000,5,80013,226186,2846000,2846000,2808000,5,-90391,-2.56213E+11,9339,3641869,2,0,-0.6,-46.95,0.06,74.9
13:00:30,2821000,-17000,2821000,2820000,20,80033,226243,2846000,2846000,2808000,5,-90371,-2.56156E+11,9339,3641869,2,0,-0.6,-46.97,0.06,74.95
13:00:30,2821000,-17000,2821000,2820000,5,80038,226257,2846000,2846000,2808000,5,-90366,-2.56142E+11,9339,3641869,2,0,-0.6,-46.97,0.06,74.97
13:00:36,2820000,-18000,2821000,2820000,-3,80041,226265,2846000,2846000,2808000,5,-90363,-2.56134E+11,9336,3640578,2,0,-0.63,-46.97,0.06,74.96
13:00:43,2821000,-17000,2822000,2821000,8,80049,226288,2846000,2846000,2808000,5,-90355,-2.56111E+11,9339,3641869,2,0,-0.6,-46.98,0.06,74.98
13:00:43,2821000,-17000,2822000,2821000,-1,80050,226291,2846000,2846000,2808000,5,-90354,-2.56108E+11,9339,3641869,2,0,-0.6,-46.98,0.06,74.98
13:00:44,2822000,-16000,2822000,2821000,2,80052,226296,2846000,2846000,2808000,5,-90352,-2.56103E+11,9343,3643160,2,0,-0.56,-46.98,0.06,74.98
13:00:45,2821000,-17000,2822000,2821000,-7,80059,226316,2846000,2846000,2808000,5,-90345,-2.56083E+11,9339,3641869,2,0,-0.6,-46.98,0.06,74.97
13:00:51,2821000,-17000,2822000,2821000,-6,80065,226333,2846000,2846000,2808000,5,-90339,-2.56066E+11,9339,3641869,2,0,-0.6,-46.99,0.06,74.96
13:00:52,2821000,-17000,2822000,2821000,-10,80075,226361,2846000,2846000,2808000,5,-90329,-2.56038E+11,9339,3641869,2,0,-0.6,-46.99,0.06,74.94
13:00:53,2821000,-17000,2822000,2820000,-1,80076,226364,2846000,2846000,2808000,5,-90328,-2.56035E+11,9339,3641869,2,0,-0.6,-46.99,0.06,74.94
13:00:55,2820000,-18000,2821000,2820000,-1,80077,226367,2846000,2846000,2808000,5,-90327,-2.56032E+11,9336,3640578,2,0,-0.63,-46.99,0.06,74.94
13:01:07,2821000,-17000,2821000,2820000,11,80088,226398,2846000,2846000,2808000,5,-90316,-2.56001E+11,9339,3641869,2,0,-0.6,-47,0.06,74.96
13:01:08,2820000,-18000,2821000,2820000,-1,80089,226401,2846000,2846000,2808000,5,-90315,-2.55998E+11,9336,3640578,2,0,-0.63,-47,0.06,74.96
13:01:10,2820000,-18000,2821000,2820000,-1,80090,226403,2846000,2846000,2808000,5,-90314,-2.55996E+11,9336,3640578,2,0,-0.63,-47,0.06,74.96
13:01:12,2820000,-18000,2821000,2820000,-47,80137,226536,2846000,2846000,2808000,5,-90267,-2.55863E+11,9336,3640578,2,0,-0.63,-47.03,0.06,74.87
13:01:12,2820000,-18000,2821000,2820000,-10,80147,226564,2846000,2846000,2808000,5,-90257,-2.55835E+11,9336,3640578,2,0,-0.63,-47.03,0.06,74.85
13:01:14,2820000,-18000,2821000,2820000,-1,80148,226567,2846000,2846000,2808000,5,-90256,-2.55832E+11,9336,3640578,2,0,-0.63,-47.03,0.06,74.85
13:01:16,2821000,-17000,2821000,2820000,1,80149,226570,2846000,2846000,2808000,5,-90255,-2.55829E+11,9339,3641869,2,0,-0.6,-47.03,0.06,74.85
13:01:20,2820000,-18000,2821000,2820000,-1,80150,226573,2846000,2846000,2808000,5,-90254,-2.55826E+11,9336,3640578,2,0,-0.63,-47.04,0.06,74.85
13:01:24,2820000,-18000,2821000,2820000,-1,80151,226575,2846000,2846000,2808000,5,-90253,-2.55824E+11,9336,3640578,2,0,-0.63,-47.04,0.06,74.85
13:01:31,2820000,-18000,2821000,2820000,-2,80153,226581,2846000,2846000,2808000,5,-90251,-2.55818E+11,9336,3640578,2,0,-0.63,-47.04,0.06,74.85
13:01:42,2821000,-17000,2821000,2820000,1,80154,226584,2846000,2846000,2808000,5,-90250,-2.55815E+11,9339,3641869,2,0,-0.6,-47.04,0.06,74.85
13:01:42,2820000,-18000,2821000,2820000,-16,80170,226629,2846000,2846000,2808000,5,-90234,-2.5577E+11,9336,3640578,2,0,-0.63,-47.05,0.06,74.82
13:01:43,2820000,-18000,2821000,2820000,-20,80190,226685,2846000,2846000,2808000,5,-90214,-2.55714E+11,9336,3640578,2,0,-0.63,-47.06,0.06,74.78
13:01:46,2820000,-18000,2821000,2820000,-7,80197,226705,2846000,2846000,2808000,5,-90207,-2.55694E+11,9336,3640578,2,0,-0.63,-47.06,0.06,74.77
13:01:50,2820000,-18000,2821000,2820000,-16,80213,226750,2846000,2846000,2808000,5,-90191,-2.55649E+11,9336,3640578,2,0,-0.63,-47.07,0.06,74.74
13:01:50,2820000,-18000,2821000,2820000,-84,80297,226987,2846000,2846000,2808000,5,-90107,-2.55412E+11,9336,3640578,2,0,-0.63,-47.12,0.06,74.58
13:01:50,2820000,-18000,2821000,2820000,-17,80314,227035,2846000,2846000,2808000,5,-90090,-2.55364E+11,9336,3640578,2,0,-0.63,-47.13,0.06,74.55
13:01:50,2820000,-18000,2821000,2820000,-1,80315,227038,2846000,2846000,2808000,5,-90089,-2.55361E+11,9336,3640578,2,0,-0.63,-47.13,0.06,74.55
13:01:53,2820000,-18000,2821000,2820000,-1,80316,227041,2846000,2846000,2808000,5,-90088,-2.55358E+11,9336,3640578,2,0,-0.63,-47.13,0.06,74.55
13:01:53,2820000,-18000,2820000,2819000,-17,80333,227089,2846000,2846000,2808000,5,-90071,-2.5531E+11,9336,3640578,2,0,-0.63,-47.14,0.06,74.52
13:01:53,2820000,-18000,2820000,2819000,2,80335,227094,2846000,2846000,2808000,5,-90069,-2.55305E+11,9336,3640578,2,0,-0.63,-47.14,0.06,74.52
13:01:58,2820000,-18000,2820000,2819000,1,80336,227097,2846000,2846000,2808000,5,-90068,-2.55302E+11,9336,3640578,2,0,-0.63,-47.14,0.06,74.52
13:01:58,2819000,-19000,2820000,2819000,-1,80337,227100,2846000,2846000,2808000,5,-90067,-2.55299E+11,9333,3639287,2,0,-0.67,-47.15,0.06,74.52
13:01:58,2819000,-19000,2820000,2819000,-4,80341,227111,2846000,2846000,2808000,5,-90063,-2.55288E+11,9333,3639287,2,0,-0.67,-47.15,0.06,74.51
13:02:09,2820000,-18000,2820000,2819000,1,80342,227114,2846000,2846000,2808000,5,-90062,-2.55285E+11,9336,3640578,2,0,-0.63,-47.15,0.06,74.52
13:02:15,2820000,-18000,2820000,2819000,10,80352,227142,2846000,2846000,2808000,5,-90052,-2.55257E+11,9336,3640578,2,0,-0.63,-47.15,0.06,74.54
13:02:15,2820000,-18000,2820000,2819000,10,80362,227170,2846000,2846000,2808000,5,-90042,-2.55229E+11,9336,3640578,2,0,-0.63,-47.16,0.06,74.57
13:02:15,2820000,-18000,2820000,2819000,6,80368,227187,2846000,2846000,2808000,5,-90036,-2.55212E+11,9336,3640578,2,0,-0.63,-47.16,0.06,74.58
13:02:16,2820000,-18000,2820000,2819000,1,80369,227190,2846000,2846000,2808000,5,-90035,-2.55209E+11,9336,3640578,2,0,-0.63,-47.16,0.06,74.58
13:02:18,2820000,-18000,2820000,2819000,10,80379,227218,2846000,2846000,2808000,5,-90025,-2.55181E+11,9336,3640578,2,0,-0.63,-47.17,0.06,74.61
13:02:19,2820000,-18000,2820000,2819000,10,80389,227247,2846000,2846000,2808000,5,-90015,-2.55152E+11,9336,3640578,2,0,-0.63,-47.18,0.06,74.63
13:02:19,2820000,-18000,2820000,2819000,10,80399,227275,2846000,2846000,2808000,5,-90005,-2.55124E+11,9336,3640578,2,0,-0.63,-47.18,0.06,74.66
13:02:19,2820000,-18000,2820000,2819000,10,80409,227303,2846000,2846000,2808000,5,-89995,-2.55096E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:19,2820000,-18000,2821000,2820000,4,80413,227314,2846000,2846000,2808000,5,-89991,-2.55085E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.69
13:02:20,2820000,-18000,2821000,2820000,-4,80417,227326,2846000,2846000,2808000,5,-89987,-2.55074E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.69
13:02:24,2820000,-18000,2821000,2820000,-1,80418,227328,2846000,2846000,2808000,5,-89986,-2.55071E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:24,2820000,-18000,2821000,2820000,-1,80419,227331,2846000,2846000,2808000,5,-89985,-2.55068E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:27,2820000,-18000,2821000,2820000,-1,80420,227334,2846000,2846000,2808000,5,-89984,-2.55065E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:32,2820000,-18000,2821000,2820000,-1,80421,227337,2846000,2846000,2808000,5,-89983,-2.55062E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:33,2820000,-18000,2821000,2820000,-1,80422,227340,2846000,2846000,2808000,5,-89982,-2.55059E+11,9336,3640578,2,0,-0.63,-47.19,0.06,74.68
13:02:37,2820000,-18000,2821000,2820000,-4,80426,227351,2846000,2846000,2808000,5,-89978,-2.55048E+11,9336,3640578,2,0,-0.63,-47.2,0.06,74.67
13:02:39,2820000,-18000,2821000,2820000,-4,80430,227362,2846000,2846000,2808000,5,-89974,-2.55037E+11,9336,3640578,2,0,-0.63,-47.2,0.06,74.66
13:02:39,2820000,-18000,2821000,2820000,-1,80431,227365,2846000,2846000,2808000,5,-89973,-2.55034E+11,9336,3640578,2,0,-0.63,-47.2,0.06,74.66
13:02:44,2820000,-18000,2821000,2820000,-1,80432,227368,2846000,2846000,2808000,5,-89972,-2.55031E+11,9336,3640578,2,0,-0.63,-47.2,0.06,74.66
13:02:44,2820000,-18000,2821000,2819000,-1,80433,227371,2846000,2846000,2808000,5,-89971,-2.55028E+11,9336,3640578,2,0,-0.63,-47.2,0.06,74.66
13:02:46,2821000,-17000,2821000,2819000,12,80445,227404,2846000,2846000,2808000,5,-89959,-2.54995E+11,9339,3641869,2,0,-0.6,-47.21,0.06,74.69
13:02:49,2820000,-18000,2821000,2820000,-1,80446,227407,2846000,2846000,2808000,5,-89958,-2.54992E+11,9336,3640578,2,0,-0.63,-47.21,0.06,74.68
13:02:51,2820000,-18000,2821000,2820000,-7,80453,227427,2846000,2846000,2808000,5,-89951,-2.54972E+11,9336,3640578,2,0,-0.63,-47.21,0.06,74.67
13:02:51,2820000,-18000,2821000,2820000,-3,80456,227436,2846000,2846000,2808000,5,-89948,-2.54964E+11,9336,3640578,2,0,-0.63,-47.21,0.06,74.67
13:02:51,2820000,-18000,2821000,2820000,-2,80458,227441,2846000,2846000,2808000,5,-89946,-2.54958E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.66
13:02:57,2820000,-18000,2821000,2820000,-1,80459,227444,2846000,2846000,2808000,5,-89945,-2.54955E+11,9336,3640578,2,0,-0.63,-47.22,0.06,74.66
